state,addition,total,death,date,Latitude,Longitude
Selangor,6,1394,13,26-04-20,3.509247,101.524803
Terengganu,,110,1,26-04-20,5.3117,103.1324
Johor,,659,17,27-04-20,1.937344,103.366585
Kedah,,95,1,27-04-20,6.155672,100.569649
Kelantan,,155,3,27-04-20,6.125397,102.238068
KL&Putrajaya,30,1279,22,27-04-20,3.139,101.6869
Labuan,,16,0,27-04-20,5.2831,115.2308
Melaka,,193,5,27-04-20,2.1944,102.2491
N.Sembilan,1,435,7,27-04-20,2.731813,102.252502
P.Pinang,,121,1,27-04-20,3.7634,103.2202
Pahang,,288,4,27-04-20,5.285153,100.456238
Perak,1,253,4,27-04-20,4.69395,101.0901
Perlis,,18,1,27-04-20,6.443589,100.216599
Sabah,1,312,4,27-04-20,5.420404,116.796783
Sarawak,3,488,16,27-04-20,1.5533,110.3592
Selangor,4,1398,13,27-04-20,3.509247,101.524803
Terengganu,,110,1,27-04-20,5.3117,103.1324
Johor,1,660,17,28-04-20,1.937344,103.366585
Kedah,,95,1,28-04-20,6.155672,100.569649
Kelantan,,155,3,28-04-20,6.125397,102.238068
KL&Putrajaya,15,1294,22,28-04-20,3.139,101.6869
Labuan,,16,0,28-04-20,5.2831,115.2308
Melaka,,193,5,28-04-20,2.1944,102.2491
N.Sembilan,1,436,7,28-04-20,2.731813,102.252502
P.Pinang,,121,1,28-04-20,3.7634,103.2202
Pahang,,288,4,28-04-20,5.285153,100.456238
Perak,1,253,4,28-04-20,4.69395,101.0901
Perlis,,18,1,28-04-20,6.443589,100.216599
Sabah,1,313,4,28-04-20,5.420404,116.796783
Sarawak,8,496,16,28-04-20,1.5533,110.3592
Selangor,5,1403,14,28-04-20,3.509247,101.524803
Terengganu,,110,1,28-04-20,5.3117,103.1324
Johor,0,660,17,29-04-20,1.937344,103.366585
Kedah,0,95,1,29-04-20,6.155672,100.569649
Kelantan,0,155,3,29-04-20,6.125397,102.238068
KL&Putrajaya,8,1302,22,29-04-20,3.139,101.6869
Labuan,0,16,0,29-04-20,5.2831,115.2308
Melaka,0,193,5,29-04-20,2.1944,102.2491
N.Sembilan,72,508,7,29-04-20,2.731813,102.252502
P.Pinang,0,121,1,29-04-20,3.7634,103.2202
Pahang,5,293,4,29-04-20,5.285153,100.456238
Perak,0,253,4,29-04-20,4.69395,101.0901
Perlis,0,18,1,29-04-20,6.443589,100.216599
Sabah,2,315,4,29-04-20,5.420404,116.796783
Sarawak,6,502,16,29-04-20,1.5533,110.3592
Selangor,1,1404,14,29-04-20,3.509247,101.524803
Terengganu,0,110,1,29-04-20,5.3117,103.1324
Johor,3,663,17,30-04-20,1.937344,103.366585
Kedah,,95,1,30-04-20,6.155672,100.569649
Kelantan,,155,3,30-04-20,6.125397,102.238068
KL&Putrajaya,11,1313,22,30-04-20,3.139,101.6869
Labuan,,16,0,30-04-20,5.2831,115.2308
Melaka,5,198,5,30-04-20,2.1944,102.2491
N.Sembilan,5,513,7,30-04-20,2.731813,102.252502
P.Pinang,,121,1,30-04-20,3.7634,103.2202
Pahang,1,294,5,30-04-20,5.285153,100.456238
Perak,,253,4,30-04-20,4.69395,101.0901
Perlis,,18,1,30-04-20,6.443589,100.216599
Sabah,,315,4,30-04-20,5.420404,116.796783
Sarawak,5,507,17,30-04-20,1.5533,110.3592
Selangor,27,1431,14,30-04-20,3.509247,101.524803
Terengganu,,110,1,30-04-20,5.3117,103.1324
Johor,3,666,17,01-05-20,1.937344,103.366585
Kedah,,95,1,01-05-20,6.155672,100.569649
Kelantan,,155,3,01-05-20,6.125397,102.238068
KL&Putrajaya,36,1349,23,01-05-20,3.139,101.6869
Labuan,,16,0,01-05-20,5.2831,115.2308
Melaka,1,199,5,01-05-20,2.1944,102.2491
N.Sembilan,,513,7,01-05-20,2.731813,102.252502
P.Pinang,,121,1,01-05-20,3.7634,103.2202
Pahang,3,297,5,01-05-20,5.285153,100.456238
Perak,,253,4,01-05-20,4.69395,101.0901
Perlis,,18,1,01-05-20,6.443589,100.216599
Sabah,,315,4,01-05-20,5.420404,116.796783
Sarawak,2,509,17,01-05-20,1.5533,110.3592
Selangor,24,1455,14,01-05-20,3.509247,101.524803
Terengganu,,110,1,01-05-20,5.3117,103.1324
Johor,1,667,17,02-05-20,1.937344,103.366585
Kedah,0,95,1,02-05-20,6.155672,100.569649
Kelantan,0,155,3,02-05-20,6.125397,102.238068
KL&Putrajaya,14,1363,23,02-05-20,3.139,101.6869
Labuan,0,16,0,02-05-20,5.2831,115.2308
Melaka,2,201,5,02-05-20,2.1944,102.2491
N.Sembilan,8,521,7,02-05-20,2.731813,102.252502
P.Pinang,0,121,1,02-05-20,3.7634,103.2202
Pahang,8,305,5,02-05-20,5.285153,100.456238
Perak,0,253,4,02-05-20,4.69395,101.0901
Perlis,0,18,1,02-05-20,6.443589,100.216599
Sabah,0,315,4,02-05-20,5.420404,116.796783
Sarawak,9,518,17,02-05-20,1.5533,110.3592
Selangor,63,1518,14,02-05-20,3.509247,101.524803
Terengganu,0,110,1,02-05-20,5.3117,103.1324
Johor,,667,17,03-05-20,1.937344,103.366585
Kedah,,95,1,03-05-20,6.155672,100.569649
Kelantan,,155,3,03-05-20,6.125397,102.238068
KL&Putrajaya,31,1394,23,03-05-20,3.139,101.6869
Labuan,,16,0,03-05-20,5.2831,115.2308
Melaka,3,204,5,03-05-20,2.1944,102.2491
N.Sembilan,71,592,8,03-05-20,2.731813,102.252502
P.Pinang,,121,1,03-05-20,3.7634,103.2202
Pahang,,305,5,03-05-20,5.285153,100.456238
Perak,,253,4,03-05-20,4.69395,101.0901
Perlis,,18,1,03-05-20,6.443589,100.216599
Sabah,1,316,4,03-05-20,5.420404,116.796783
Sarawak,5,523,17,03-05-20,1.5533,110.3592
Selangor,11,1529,15,03-05-20,3.509247,101.524803
Terengganu,,110,1,03-05-20,5.3117,103.1324
Johor,,667,17,04-05-20,1.937344,103.366585
Kedah,,95,1,04-05-20,6.155672,100.569649
Kelantan,,155,3,04-05-20,6.125397,102.238068
KL&Putrajaya,25,1419,23,04-05-20,3.139,101.6869
Labuan,,16,0,04-05-20,5.2831,115.2308
Melaka,3,207,5,04-05-20,2.1944,102.2491
N.Sembilan,6,598,8,04-05-20,2.731813,102.252502
P.Pinang,,121,1,04-05-20,3.7634,103.2202
Pahang,,305,5,04-05-20,5.285153,100.456238
Perak,,253,4,04-05-20,4.69395,101.0901
Perlis,,18,1,04-05-20,6.443589,100.216599
Sabah,,316,4,04-05-20,5.420404,116.796783
Sarawak,,523,17,04-05-20,1.5533,110.3592
Selangor,21,1550,15,04-05-20,3.509247,101.524803
Terengganu,,110,1,04-05-20,5.3117,103.1324
